2071:8662	DETALLE VIVIENDA
2114:31310	NUEVA INSPECCIÓN
2114:31918	NUEVA - FOTO 01
2129:33627	NUEVA - GALERÍA 01
2129:34289	NUEVA - RECORRIDO CON IA
2129:34579	Pop Up
2129:34359	NUEVA - RECORRIDO CON IA - AÑADIENDO FOTOGRAMAS
2129:34399	NUEVA - RECORRIDO CON IA - AÑADIENDO FOTOGRAMAS  más
2129:34627	NUEVA - RECORRIDO CON IA - FINALIZAR
2093:25786	Detalle vivienda a medio avanzar
2093:26070	Detalle vivienda avanzada
2129:36657	TAREA VIENDO
2129:37602	TAREA VIENDO y escribiendo mensaje
2129:37810	TAREA VIENDO - CUALQUIER USUARIO PUEDE COMPLETARLA
2129:37079	Assignee
2129:37393	TAREA VIENDO
2129:36942	TAREA EDITANDO
2129:38279	TAREA EDITANDO - añado fotos
5:12139	Splash Screen
2070:15536	HOME técnicos y propiedad
2070:15747	HOME personal de constructora
2075:10806	Viviendas Inacabadas v1
2079:13819	Viviendas terminadas v1
4115:21264	FILTRANDO POR GREMIO U OFICIO
4115:21822	FILTRANDO POR GREMIO U OFICIO - SELECCIONADO ALGUNO
2093:17219	Filtros aplicados con switch FINALIZADAS
2093:25173	Filtros aplicados con switch INACABADAS
2103:27795	xx
2105:19080	xxx
2045:10272	Tarea - creando desde cero 01
2129:33734	Tarea - creando desde cero 2
2114:32994	Tarea - RELLENANDO A MANO
2129:33957	Tarea - RELLENANDO A MANO
2114:33501	Tarea - multimedia añadido
2129:34179	Tarea - multimedia añadido
2129:34669	NUEVA - RECORRIDO CON IA - VALIDAR TAREAS
2129:35828	NUEVA - RECORRIDO CON IA - VALIDAR TAREAS elim 1
2129:36376	NUEVA - RECORRIDO CON IA - VALIDAR TAREAS nueva foto
2129:36158	NUEVA - RECORRIDO CON IA - VALIDAR TAREAS
2129:35588	NUEVA - RECORRIDO CON IA - VALIDAR LA ÚLTIMA DE LAS TAREAS
2114:33358	Tarea - Añadiendo multimedia
2129:34061	Tarea - Añadiendo multimedia
2125:11553	Tarea - creando desde cero 01 - Confirmar eliminación foto
2129:33838	Tarea - creando desde cero 01 - Confirmar eliminación foto
2129:38466	TAREA FINALIZADA
4106:19968	Badges
4106:19970	Default
4106:19985	Filled - Password Hidden
4106:20000	Error  State
4106:20017	Filled - Password Show
4115:20676	ELIGIENDO FECHA
